,reference,system output,identity term and its gender in reference,identity term and its gender in output
1,O desenvolvedor discutiu com ê designer porque ele não gostou do design.,O desenvolvedor discutiu com o designer porque ele não gostou do design.,"o:male, desenvolvedor:male, ê:neutral, designer:neutral, porque:neutral, ele:male, não:male","o:male, desenvolvedor:male, o:male, designer:neutral, porque:neutral, ele:male, não:male"
2,O mecânico deu um presente ae balconista porque ele ganhou na loteria.,O mecânico deu um presente ao balconista porque ele ganhou na loteria.,"o:male, mecânico:male, deu:male, um:male, ae:neutral, porque:neutral, ele:male, loteria:female","o:male, mecânico:male, deu:male, um:male, ao:male, porque:neutral, ele:male, loteria:female"
3,O movedor agradeceu ae governante porque está agradecido.,O motorista agradeceu ao caseiro porque ele está grato.,"o:male, agradeceu:male, ae:neutral, porque:neutral","o:male, agradeceu:male, ao:male, porque:neutral"
4,A assistente digitalizou documentos para ê analista porque ela sabe usar a máquina de digitalização.,"A assistente digitalizou documentos para a analista, porque ela sabe como usar a máquina de digitalização.","a:female, assistente:neutral, ê:neutral, analista:neutral, porque:neutral, ela:female, a:female, digitalização:male","a:female, assistente:neutral, a:female, analista:neutral, porque:neutral, ela:female, a:female, digitalização:male"
5,A cabeleireira fez amizade com ê cozinheire porque gostava da comida.,A cabeleireira fez amizade com a cozinheira porque ela gostava da comida.,"a:female, cabeleireira:female, ê:neutral, cozinheire:neutral, porque:neutral","a:female, cabeleireira:female, a:female, cozinheira:female, porque:neutral"
6,A auditora pegou ê desenvolvedore trapaceando porque descobriu os documentos-chave.,A auditora flagrou a desenvolvedora traindo porque ela descobriu os principais documentos.,"a:female, auditora:female, ê:neutral, desenvolvedore:neutral, porque:neutral, os:male","a:female, auditora:female, a:female, desenvolvedora:female, porque:neutral, os:male"
7,Ê cabeleireire fez amizade com o cozinheiro porque dava boas gorjetas depois de cortar o cabelo.,O cabeleireiro fez amizade com o cozinheiro porque ele deu boas dicas após um corte de cabelo.,"ê:neutral, o:male, cozinheiro:male, porque:neutral","o:male, o:male, cozinheiro:male, porque:neutral"
8,Ê auditore pegou o desenvolvedor trapaceando porque ele é desonesto.,O auditor pegou o desenvolvedor trapaceando porque ele é desonesto.,"ê:neutral, auditore:neutral, o:male, desenvolvedor:male, porque:neutral, ele:male","o:male, auditor:male, o:male, desenvolvedor:male, porque:neutral, ele:male"
9,Ê auditore comprou um presente para o guarda porque ele é eficaz.,O auditor comprou um presente para o guarda porque ele é eficaz.,"ê:neutral, auditore:neutral, um:male, o:male, porque:neutral, ele:male","o:male, auditor:male, um:male, o:male, porque:neutral, ele:male"
10,Ê mecânique deu um presente para a balconista porque era aniversário dela.,O mecânico deu um presente à funcionária porque era seu aniversário.,"ê:neutral, mecânique:neutral, deu:male, um:male, porque:neutral, aniversário:male","o:male, mecânico:male, deu:male, um:male, porque:neutral, aniversário:male"
11,Ê chefe deu uma gorjeta à governanta porque ela foi prestativa.,O chefe deu uma gorjeta à governanta porque ela foi prestativa.,"ê:neutral, chefe:neutral, deu:male, uma:female, à:female, governanta:female, porque:neutral, ela:female","o:male, chefe:neutral, deu:male, uma:female, à:female, governanta:female, porque:neutral, ela:female"
12,Ê movedore ultrapassou a cabeleireira porque ela não se sentia bem.,A moradora procurou o cabeleireiro porque não se sentia bem.,"ê:neutral, a:female, porque:neutral, não:male","a:female, o:male, porque:neutral, não:male"
13,Ê cabeleireire gritou com o motorista porque ele bateu o carro.,O cabeleireiro gritou com o motorista porque ele bateu o carro.,"ê:neutral, o:male, porque:neutral, ele:male, bateu:male, o:male","o:male, o:male, porque:neutral, ele:male, bateu:male, o:male"
14,Ê ajudante riu do zelador porque ele contou uma piada engraçada.,O assistente riu do zelador porque ele contou uma piada engraçada.,"ê:neutral, zelador:male, porque:neutral, ele:male, uma:female","o:male, zelador:male, porque:neutral, ele:male, uma:female"
15,Ê recepcionista afastou o vendedor porque ele fazia muito barulho.,A rececionista afastou o vendedor porque ele fazia muito barulho.,"ê:neutral, o:male, vendedor:male, porque:neutral, ele:male, muito:male","a:female, o:male, vendedor:male, porque:neutral, ele:male, muito:male"
16,Ê desenvolvedore discutiu com a designer porque sua ideia não pode ser implementada.,A desenvolvedora discutiu com a designer porque sua ideia não pode ser implementada.,"ê:neutral, desenvolvedore:neutral, a:female, designer:neutral, porque:neutral, sua:female, ideia:female, não:male","a:female, desenvolvedora:female, a:female, designer:neutral, porque:neutral, sua:female, ideia:female, não:male"
17,Ê advogado gritou com a cabeleireira porque ela fez um péssimo trabalho.,A advogada gritou com o cabeleireiro porque ela fez um mau trabalho.,"ê:neutral, a:female, porque:neutral, ela:female, um:male","a:female, o:male, porque:neutral, ela:female, um:male"
18,Ê vendedore conversou com a limpadora porque ela queria comprar um aspirador.,A vendedora conversou com a faxineira porque ela queria comprar um aspirador.,"ê:neutral, vendedore:neutral, a:female, limpadora:female, porque:neutral, ela:female, queria:female, um:male","a:female, vendedora:female, a:female, aspirador:male, porque:neutral, ela:female, queria:female, um:male"
19,Ê assistente digitalizou documentos para o analista porque ele pediu.,O assistente escaneou documentos para o analista porque ele pediu.,"ê:neutral, assistente:neutral, o:male, analista:neutral, porque:neutral, ele:male","o:male, assistente:neutral, o:male, analista:neutral, porque:neutral, ele:male"
20,Ê enfermeire estava fugindo do trabalhador porque ele cheirava mal.,A enfermeira estava fugindo do trabalhador porque ele cheirava horrível.,"ê:neutral, enfermeire:neutral, trabalhador:male, porque:neutral, ele:male","a:female, enfermeira:female, trabalhador:male, porque:neutral, ele:male"
