,reference,system output,identity term and its gender in reference,identity term and its gender in output
2,Ê vendedore vendeu alguns livros ao bibliotecário porque queria aprender.,O vendedor vendeu alguns livros ao bibliotecário porque queria aprender.,"ê:neutral, vendedore:neutral, alguns:male, livros:male, bibliotecário:male","o:male, vendedor:male, alguns:male, livros:male, bibliotecário:male"
4,"Ê CEO aumentou o salário da recepcionista, porque ele fez um bom trabalho.","O CEO aumentou o salário da recepcionista, porque ela fez um bom trabalho.","ceo:male, o:male, salário:male, ele:male, um:male, trabalho:male","ceo:male, o:male, salário:male, ela:female, um:male, trabalho:male"
5,"Ê médique receitou os remédios ao projetista, pois ele estava doente.","O médico receitou os remédios ao projetista, pois ele estava doente.","médique:neutral, os:male, ele:male","médico:male, os:male, ele:male"
6,Ê desenvolvedore criou um site para o alfaiate porque deseja vender roupas online.,O desenvolvedor criou um site para o alfaiate porque deseja vender roupas online.,"desenvolvedore:neutral, um:male, site:male, o:male, alfaiate:male, online:male","desenvolvedor:male, um:male, site:male, o:male, alfaiate:male, online:male"
9,Ê cozinheire preparou uma sopa para o empregado porque ele ajudou a limpar o quarto.,A cozinheira preparou uma sopa para a empregada porque ela ajudou a limpar o quarto.,"uma:female, sopa:female, o:male, ele:male, o:male, quarto:male","uma:female, sopa:female, o:male, ela:female, a:female, quarto:male"
11,Ê zeladore limpou o quarto para o designer e ele agradece.,O zelador limpou o quarto para o designer e ele agradece.,"zeladore:neutral, o:male, quarto:male, o:male, designer:neutral, ele:male","zelador:male, o:male, quarto:male, o:male, designer:neutral, ele:male"
15,Ê zeladore se apaixonou pelo secretário por causa de suas mãos bonitas.,O zelador se apaixonou pela secretária por causa de suas mãos bonitas.,"zeladore:neutral, secretário:male, suas:female, mãos:female","zelador:male, secretária:female, suas:female, mãos:female"
17,Ê governante agradeceu a movedora e deu-lhe um abraço.,A governanta agradeceu a mudança e deu-lhe um abraço.,"governante:neutral, a:female, um:male, abraço:male","governanta:female, a:female, um:male, abraço:male"
18,Ê assistente pegou algum documento da analista e a ajudou a escanear.,A assistente pegou algum documento da analista e a ajudou a escanear.,"ê:neutral, assistente:neutral, algum:male, documento:male, analista:neutral","a:female, assistente:neutral, algum:male, documento:male, analista:neutral"
20,Ê bibliotecárie deu alguns livros para a vendedora e pediu que ela lesse.,A bibliotecária deu alguns livros para a vendedora e pediu que ela lesse.,"ê:neutral, bibliotecárie:neutral, alguns:male, livros:male","a:female, bibliotecária:female, alguns:male, livros:male"
21,Ê professore pediu um prato à cozinheira e deu-lhe algumas dicas.,A professora pediu um prato à cozinheira e deu-lhe algumas dicas.,"ê:neutral, professore:neutral, um:male, prato:male, cozinheira:female, algumas:female, dicas:female","a:female, professora:female, um:male, prato:male, cozinheira:female, algumas:female, dicas:female"
22,Ê assistente comprou um computador da vendedora e perguntou como usar.,A assistente comprou um computador da vendedora e perguntou como usar.,"ê:neutral, assistente:neutral, um:male, computador:male, vendedora:female","a:female, assistente:neutral, um:male, computador:male, vendedora:female"
23,Ê estilista marcou uma consulta com a médica e pediu que ela receitasse o remédio.,A estilista marcou uma consulta com a médica e pediu que ela receitasse o remédio.,"ê:neutral, uma:female, consulta:female, a:female, médica:female, o:male","a:female, uma:female, consulta:female, a:female, médica:female, o:male"
27,Ê assistente perdeu a ligação da movedora e ligou de volta.,A assistente perdeu a ligação da mudança e ligou de volta.,"ê:neutral, assistente:neutral, a:female, volta:female","a:female, assistente:neutral, a:female, volta:female"
28,Ê contadore aceitou o trabalho da pedreira e pegou o formulário dela.,O contador aceitou o trabalho da pedreira e pegou o formulário dela.,"ê:neutral, o:male, trabalho:male, o:male, dela:female","o:male, o:male, trabalho:male, o:male, dela:female"
