,reference,system output,identity term and its gender in reference,identity term and its gender in output
2,"O Médico Ehud Ur, um professor de medicina na Universidade de Dalhousie em Halifax, Nova Escócia, e presidente da divisão clínica e científica da Canadian Diabetes Association disse que o estudo ainda está dando seus primeiros passos.","O Dr. Ehud Ur, professor de medicina na Dalhousie University em Halifax, Nova Escócia e presidente da divisão clínica e científica da Associação Canadense de Diabetes, advertiu que a pesquisa ainda está em seus primeiros dias.","o:male, médico:male, professor:male, divisão:male, clínica:female, científica:female, o:male","o:male, clínica:female, professor:male, divisão:male, científica:female, que:neutral, a:female"
3,"Assim como alguns outros especialistas, ele é cético sobre a cura do diabetes, observando que essas descobertas não têm relevância às pessoas que já têm diabetes tipo 1.","Como alguns outros especialistas, ele é cético sobre se o diabetes pode ser curado, observando que esses achados não têm relevância para pessoas que já têm diabetes tipo 1.","outros:male, ele:male, cético:male, a:female, que:neutral, não:male, pessoas:neutral, que:neutral","outros:male, ele:male, cético:male, o:male, que:neutral, não:male, pessoas:neutral, que:neutral"
11,"Embora uma vacina experimental pareça ser capaz de reduzir a mortalidade do Ebola, até o momento, nenhuma droga foi claramente considerada como adequada para tratar a infecção existente.","Embora uma vacina experimental pareça capaz de reduzir a mortalidade do Ebola, até agora, nenhum medicamento foi claramente demonstrado adequado para tratar a infecção existente.","embora:female, uma:female, a:female, o:male, nenhuma:female, infecção:male","embora:female, uma:female, a:female, a:female, nenhum:male, infecção:male"
14,A equipe de ginástica norte-americana apoia a carta do Comitê Olímpico dos Estados Unidos e concorda com a necessidade absoluta de que a família olímpica promova um ambiente seguro para todos os nossos atletas.,A USA Gymnastics apoia a carta do Comitê Olímpico dos Estados Unidos e aceita a necessidade absoluta da família olímpica de promover um ambiente seguro para todos os nossos atletas.,"a:female, ginástica:female, a:female, olímpico:male, a:female, um:male, os:male, nossos:male","a:female, olímpico:male, a:female, olímpica:female, a:female, um:male, os:male, nossos:male"
16,"A equipe de ginástica norte-americana apoia uma investigação independente que possa esclarecer como um abuso da proporção que foi relatada tão corajosamente pelo sobrevivente, Larry Nassar, pôde acontecer sem que ninguém notasse, e defende qualquer mudança que for necessária e apropriada.",A USA Gymnastics apoia uma investigação independente que pode lançar luz sobre como o abuso da proporção descrita tão corajosamente pelos sobreviventes de Larry Nassar poderia ter passado despercebido por tanto tempo e abraça quaisquer mudanças necessárias e apropriadas.,"a:female, ginástica:female, uma:female, investigação:male, proporção:male, tão:male, for:male, necessária:female","a:female, que:neutral, uma:female, investigação:male, proporção:male, tão:male, por:male, poderia:female"
17,"A equipe de ginástica norte-americana e o USOC têm o mesmo objetivo — tornar a ginástica e qualquer outro esporte o mais seguro possível para que os atletas possam ir atrás dos seus sonhos em um ambiente de respeito, saudável e positivo.","A USA Gymnastics e a USOC têm o mesmo objetivo – tornar o esporte da ginástica e outros o mais seguro possível para que os atletas sigam seus sonhos em um ambiente seguro, positivo e empoderado.","a:female, ginástica:female, o:male, o:male, mesmo:male, a:female, ginástica:female, o:male, os:male, seus:male, um:male","a:female, ginástica:female, o:male, o:male, mesmo:male, a:female, que:neutral, o:male, os:male, seus:male, um:male"
20,"Como membro da NSA, ele ajudou Carter na condução de assuntos diplomáticos mundiais, como o Acordo de Camp David, em 1978; a normalização das relações EUA-China no final dos anos 1970; a Revolução Iraniana, que levou à crise dos reféns em 1979; e a invasão soviética no Afeganistão, em 1979.","Como NSA, ele ajudou Carter a lidar diplomaticamente com assuntos mundiais, como os Acordos de Camp David, de 1978; normalizar as relações EUA-China pensou no final dos anos 1970; a Revolução Iraniana, que levou à crise de reféns do Irã, de 1979; e a invasão soviética do Afeganistão, de 1979.","condução:male, o:male, a:female, normalização:male, a:female, revolução:male, que:neutral, à:female, soviética:female","revolução:male, a:female, a:female, invasão:male, a:female, afeganistão:male, que:neutral, à:female, soviética:female"
23,"As outras nomeações incluem Melhor Filme, Diretor, Fotografia, Figurino, Melhor Montagem, Trilha Sonora Original, Design de Produção, Edição de Som, Mixagem de Som e Roteiro Original.","Os outros indicados incluem Melhor Filme, Direção, Cinematografia, Design de Vestuário, Edição de Filme, Gravação Original, Design de Produção, Edição de Som, Mixagem de Som e Roteiro Original.","as:female, outras:female, melhor:male, produção:male, edição:male","os:male, outros:male, melhor:male, produção:male, edição:male"
25,"No domingo à noite, o presidente dos Estados Unidos, Donald Trump, em uma declaração transmitida pelo secretário de imprensa, anunciou que as tropas americanas iriam deixar a Síria.","No final do domingo, o presidente dos Estados Unidos, Donald Trump, em um comunicado entregue através do secretário de imprensa, anunciou que as tropas dos EUA iriam deixar a Síria.","domingo:male, o:male, uma:female, secretário:male, que:neutral, as:female, síria:female","domingo:male, o:male, um:male, secretário:male, que:neutral, as:female, síria:female"
27,"A Turquia também assumiria a guarda de membros do Estado Islâmico que, como afirma a declaração, as nações europeias se recusaram a repatriar.","A Turquia também assumirá a guarda dos combatentes capturados do EI que, segundo o comunicado, as nações europeias se recusaram a repatriar.","a:female, a:female, islâmico:male, a:female, as:female","a:female, a:female, que:neutral, a:female, as:female"
