,System,Score
rank 1,refA,0.29442587694400413
rank 2,QUARTZ_TuneReranking,0.2699503951382504
rank 3,refB,0.03763503735653306
rank 4,HuaweiTSC,-0.0393449269206837
rank 5,comet_bestmbr,-0.09874287946823168
rank 6,Online-W,-0.10936860870309845
rank 7,Online-G,-0.1095041613574464
rank 8,AISP-SJTU,-0.11811839131853946
rank 9,LanguageX,-0.13374429020316736
rank 10,Online-A,-0.13975980523202183
rank 11,Lan-Bridge,-0.14353072931173677
rank 12,bleurt_bestmbr,-0.14379101607225042
rank 13,chrf_bestmbr,-0.15315431381239047
rank 14,Online-Y,-0.1567982335895404
rank 15,JDExploreAcademy,-0.15682244271222867
rank 16,NiuTrans,-0.1700762755291214
rank 17,Online-B,-0.1823023745922459
rank 18,DLUT,-0.1838999784431947
rank 19,M2M100_1.2B-B4,-0.21275402031252807
rank 20,bleu_bestmbr,-0.21835584298882804
