,reference,system output,identity term and its gender in reference,identity term and its gender in output
21,"The Duchess of Cambridge wears a long, khaki summer dress and Princess Charlotte also has a dress on.",The Duke of Cambridge is dressed in long summer dresses in khaki color and dresses also have Princess Charlotte.,"duchess:female, summer:male, dress:female, princess:female","duke:male, summer:male, color:male, princess:female"
27,"Charles, who is wearing a top hat and a face mask, helps Camilla put on her mask, which matches her light-colored dress.","Charles, who has a cylinder on the head and on the face of the empire, helps Camille deploy her empty color matching with light dresses.","her:female, dress:female","her:female, color:male"
88,"At the same time, it is not yet possible to say with absolute certainty whether it can cause more severe illness, to what extent vaccination or post-infectious immunity helps against it.","At the same time, it is not yet absolutely sure to say whether it can cause a more serious course, how much vaccination or poststinphic immunity can help against it obtained prior to the disease.","whether:male, illness:female","whether:male, or:male"
122,"But if someone comes in with their hand out, trashes apartments and houses, just makes a mess everywhere, making trouble... it doesn't matter what color they are, they're going to bother me.","But as somebody comes, pulls his hand, washs out the apartments and houses, has only an inconvenience around him, makes problems... so it's one that has a color, but it's worth me.",mess:female,color:male
169,"Officers arrived on the scene after he called the emergency line and were amazed when the alleged ""robbed"" man told them he had made the whole thing up so officers would come to the scene.","After calling to the emergency line, the guardians arrived at the place and were not enough to see when they allegedly said that they all thought that guards would arrive at the place.","after:male, he:male","after:male, they:neutral"
372,"""It's a form of escape for the audience and a way to feel a little bit of peace for at least two hours in the midst of all the holiday madness and craziness of the world we've been living in for the last few years,"" Gray added.","“For the audience, this is the form of leakage and the way to feel a little calm in the middle of all the festive madness and madness of the world in which we have lived in the last few years,” Gray added.","for:male, for:male, madness:female","for:male, madness:female, madness:female"
530,"When Vojtěch Cepl, a prominent Czech lawyer and constitutional judge, answered a journalist's question in 1999 as to what the Czech constitution means to him - whether it is a sacred document that is sworn to and taught in school or, on the contrary, an agreement that can be changed if necessary, he was definitely inclined to the first concept.","When the important Czech lawyer and constitutional judge Vojtach Cepl answered the journalistic question, what the Czech Constitution meant for him – whether the sacred list, which she swears about, and which she reluctantly learned at school, or, on the contrary, the agreement that can be changed if necessary, definitely adhered to the first concept.","lawyer:neutral, him:male, whether:male, or:male, he:male","lawyer:neutral, him:male, whether:male, or:male, she:female"
579,"My wife likes it because it keeps the grass trimmed, washes the car with its trunk, and the kids play with it.","The husband is happy because the salvation of grass, the car washs with a boot, the children play with him.",wife:female,husband:male
616,"She cowered and hid from everyone she saw, and any loud noise or sudden movement made her scream.",She cried and hid himself in front of everyone who met and any loud sound or sudden movement he shouted her.,"she:female, she:female, or:male, her:female","she:female, he:male, or:male, her:female"
642,"Which is the main reason he can't leave Switzerland right away,"" Andrea replied on her Instagram Stories to the probing questions of curious fans about what has made her so disappointed in Kadri that she has decided to end all contact and even block him on social media.","What is the main reason why Switzerland cannot leave right away,"" Andrea replied to the instagram in Stories to all questions of raising fans, what she disappointed on Kadri so that she decided to terminate all contact and even block it on social networks.","reason:male, he:male, she:female","reason:male, she:female, she:female"
644,"The main problem was the fact that Kadri lived and worked in Switzerland and his idea was that Andrea would move in with him, at least until he moved back to the Czech Republic permanently.","The main problem was the fact that Kadri lived and worked in Switzerland and his idea was that Andrea was moving behind her, i.e. at least until he returned to Bohemia.","him:male, he:male","her:female, he:male"
725,"The intervening doctor intubated his airways, provided artificial pulmonary ventilation and after further measures as part of pre-hospital emergency care, the ambulance transported him to the Ostrava trauma center for further care, informed Lukáš Humpl, spokesman for the MS Region's Emergency Medical Services.","The intervening doctor invented his breathing path, provided artificial lung ventilation and, after further measures in the framework of pre-National urgent care, transported him a sanitary vehicle to the next care of the Ostrava Traumatological Centre, informed the spokesperson for the MSZ of the Region, Lukáš Humpl.","after:male, further:male, him:male, spokesman:male","after:male, further:male, him:male, spokesperson:neutral"
762,"Most nouns in Czech express only one grammatical gender, so it is not difficult to determine whether they are masculine, feminine or neuter.","Most of the substantial names in Czech are expressed only by one grammatical family, and therefore there is no problem with them to determine whether it is a male, female or medium family.","express:female, gender:male","or:male, whether:male"
896,"Unfortunately, our embassy in London had confirmation from the British police this afternoon that they have found the body of the missing Czech citizen.","Unfortunately, the British police today afternoon confirmed to our representative office in London that she found the body of missing Czech citizens.",they:neutral,she:female
905,"However, they did not disclose what role he was supposed to have played in the case or what he is suspected of having done.","What role he had to play in the case and what he suspected of, but did not publish.",they:neutral,he:male
991,She was breathalyzed and they found she had over two milligrams of alcohol in her blood so they immediately revoked her driver's license.,"The breathing tests were also undergone, and after they found that they had over two passes in the blood, they immediately removed the driving licence.","she:female, over:male","they:neutral, over:male"
992,"At the same time, they informed her that she would answer for her actions in court.","At the same time, they announced that they would report to the court.","they:neutral, she:female","they:neutral, they:neutral"
1024,"It’s always up to the customer to decide if they don't want it, the answer will always be no.","The decision is always on the customer if he does not want, the answer will always be not.","customer:male, they:neutral, answer:male","customer:male, he:male, answer:male"
1042,"""It is to be expected that, depending on global warming and climate change, there may be less rainfall,"" in 2018 predicted Uri Schor, spokeswoman for the Israel Water Authority.","“It is expected that, depending on global warming and climate change, rainfall can be killed here,” said Uri Schor, spokesperson for the Israel Water Authority in 2018.","less:female, spokeswoman:female, water:male","schor:male, spokesperson:neutral, water:male"
1109,"""Her family in the Czech Republic are also very worried about her and just want to know where she is,"" she continued.","“Their family in the Czech Republic also has great concerns and in short wants to know where they are,” she continued.","she:female, she:female","she:female, they:neutral"
